ISIN,Fund Name,SFDR,Sustainabilty Theme,Fund Provider,Fund Launch - start,Fund Currency,Funds Description,Funds Domicile,Benchmark ,Geography,AuM 2022 - amount USD mios,Perf 1Y USD,Impact Investing,Negative Screening,Positive Screening,Responsible Investments,SRI,ESG Rating,UNCTAD Sensitive sectors,Weapon ,Cluster bombs / Nuclear Weapons (NPT) ,Tobacco ,Gambling ,Pornography ,GMO ,Nuclear ,Alcohol ,Fossil fuels ,Coal ,Clean tech ,Net climate impact,UNCTAD SDG Alignment,Water and sanitation,Transport infrastructure,Telecommunications infrastructure,Power,Health,Food and agriculture,Education,Eco-systems/biodiversity,Climate change mitigation,Climate change adaptation,Portfolio weighted Co2 (Kt Co2 total) ,Portfolio weighted Co2 Intensity (tCO2/mio Revenues $),SBTi,No Info,SBTI - Committed,SBTI - Targets Set 2°C,SBTI - Targets Set Well-below 2°C,SBTI - Targets Set 1.5°C
FI4000148226,OP-Vahahiilinen Maailma A,Article 8,SRI,OP Varainhoito Oy,"42,116.00",Euro,"The Fund invests in global equity market. Investment decisions take into account principles of sustainable development with emphasis on environmental issues. The fund's assets are invested mainly in sectors mostly affected by climate changes. The Fund invests in companies with significantly smaller carbon footprint than other companies in the same sector.The fund invests mainly through direct equity investments. The Fund may use derivatives.The fund's investment degree in equities may vary from 75% till 100%. Usually, the equity weight is between 90 and 100%.",Finland,Index is not provided by Management Company,Global,106.86,-0.18,,,,TRUE,,9,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.17,0.00,0.00,0.00,0.00,0.15,0.02,0.00,0.00,0.00,0.00,"1,418.37",21.08,% Targets set,0.29,0.28,0.00,0.02,0.37
DE000DWS18K6,Bethmann Aktien Nachhaltigkeit,Article 8,SRI,Bethmann Bank AG,"41,953.00",Euro,"The equity fund is managed according to sustainability criteria. The sustainability analysis of companies and organisations takes into account criteria pertaining to environmental, social and corporate ethics. The fund management team focuses on products and services, corporate governance and business ethics, as well as environmental management and eco-efficiency in the company screening criteria.",Germany,Index is not provided by Management Company,Global,140.94,-0.23,,,,TRUE,,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.23,0.01,0.00,0.00,0.01,0.20,0.03,0.00,0.00,0.00,0.00,"1,498.41",56.19,% Targets set,0.15,0.14,0.01,0.05,0.47
IE00B3DBRL03,JOHCM Global Select B GBP,Article 8,SRI,J O Hambro Capital Management Ltd,"39,721.00",UKPoundSterling,"The primary investment objective of the Fund is to achieve long-term total returns. The Fund aims to achieve its objective by investing in a portfolio of global equity securities listed on any Recognised Market. Under normal market environments it is the intention to be near-fully invested, and at no time will less than 80% of the Fund’s total net assets be invested in such securities. The benchmark of the Fund will be the MSCI ACWI NR Index (net dividends reinvested) but the Fund will be managed on an ‘unconstrained basis’ with no restrictions in terms of regional or sector allocation versus this benchmark",Ireland,MSCI AC World NR GBP,Global,"1,645.89",-0.33,,,,TRUE,,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.04,0.02,0.30,0.00,0.00,0.00,0.02,0.25,0.05,0.00,0.00,0.00,0.00,625.89,38.07,% Targets set,0.35,0.32,0.00,0.00,0.25
GB00B2QXTP49,Premier Miton Global Sustainable Growth A Acc,N/A,SRI,Premier Portfolio Managers,"39,590.00",UKPence,"The objective of the fund is to provide capital growth over the period five years or more. Five years is also minimum recommended period for holding shares in this Fund. The Investment Adviser aims to achieve the objective of the Fund by investing a minimum of 80% of its assets in an actively managed portfolio of company shares.The Investment Adviser believes to deliver capital growth companies should have strong Environmental,Social and Governance (ESG) profile and be focussed on longer term sustainable growth themes, including health and well-being, affordable and clean energy, and waste management amongst others.",UK,IA Global TR,Global,120.85,-0.21,,,,TRUE,,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.00,0.12,0.09,0.29,0.00,0.00,0.00,0.03,0.21,0.07,0.00,0.01,0.00,0.00,"1,907.81",147.14,% Targets set,0.47,0.19,0.00,0.01,0.29
NO0010279979,Pareto Global A,Article 9,SRI,Orkla Finans Fondsforvaltning As,"38,576.00",NorwegianKrone,"The fund invests in equities and has a global investment mandate. The portfolio is diversified across industries, geography and company size. The fund is actively managed. The investment philosophy can be characterized as long-term and not very transaction-oriented. Solid and well-run companies with a long-term potential are followed and investments are usually made in 20-30 of them.",Norway,Index is not available on Lipper Database,Global,379.83,-0.15,,"ex Weapons, ex Tobacco, ex Adult Entertainment","Best in Class, Positive Tilt",TRUE,,9,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.00,-0.01,0.29,0.00,0.00,0.00,0.00,0.28,0.01,0.00,0.00,0.00,0.00,"1,210.87",26.14,% Targets set,0.36,0.17,0.00,0.04,0.41
LU0121971286,AAF ESG Profile 6 - Very Aggressive A EUR Cap,Article 8,SRI,Abn Amro Asset Management,"37,053.00",Euro,"The sub-fund targets capital appreciation over the long term, through investments in various classes of assets. The sub-fund may invest in bonds, equities, money market instruments through direct investments, financial derivative instruments, as well as undertakings for collective investments (including exchange traded funds) and, on an ancillary basis, in cash instruments. The emphasis is placed on the diversification of investments on an international scale. The manager will allocate the net assets according to the following strategic allocation: equities 100%, real estate securities 0%, bonds 0%, short term debt securities 0%.",Luxembourg,Index is not available on Lipper Database,Global,193.07,-0.19,,"ex Weapons, ex Tobacco",,TRUE,,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.03,0.01,0.20,0.01,0.00,0.00,0.01,0.13,0.05,0.00,0.01,0.00,0.00,"2,145.04",75.14,% Targets set,0.28,0.15,0.01,0.04,0.31
LU0244546650,Goldman Sachs Global Eq Ptns ESG Base Acc USD,Article 8,SRI,Goldman Sachs Asset Management,"38,771.00",USDollar,"The Portfolio seeks to provide capital growth over the longer term. The Portfolio will mostly hold shares or similar instruments relating to a concentrated portfolio of companies anywhere in the world that the Investment Advisor believes exhibit strong or improving environmental, social and governance (ESG) leadership, a strong industry position and financial resiliency relative to their regional peers.",Luxembourg,MSCI World NR USD,Global,"1,420.34",-0.26,,"ex Weapons, ex Tobacco, ex Adult Entertainment, ex Nuclear, ex Alcohol or Drugs, ex Fossil Energy, ex Other",,TRUE,,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.02,-0.01,0.17,0.00,0.00,0.00,0.00,0.10,0.03,0.00,0.04,0.00,0.00,"1,862.01",90.69,% Targets set,0.31,0.20,0.00,0.10,0.36
LU0117287580,BL Global Equities B Cap,Article 8,SRI,Banque du Luxembourg,"36,836.00",Euro,"The sub-fund invests a minimum of 75% of its net assets in shares. Companies are chosen on the basis of their fundamentals and their stock market valuation. A maximum of 10% of the net assets may be invested in open-ended investment funds. The sub-fund may also use derivative products for hedging purposes or in order to optimise the portfolio's exposure. Investments are made without any geographical, sector-based or monetary restrictions. The portfolio is managed on a discretionary basis without using a reference benchmark.",Luxembourg,MSCI AC World NR EUR,Global,260.24,-0.20,,,,TRUE,,9,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.04,0.04,0.24,0.00,0.00,0.00,0.00,0.19,0.04,0.00,0.02,0.00,0.00,"2,334.54",70.36,% Targets set,0.28,0.17,0.00,0.06,0.41
IE00B59Z3G76,Sarasin IE Global Equity Opps (GBP) A Acc,Article 8,SRI,Banque J. Safra Sarasin Sa,"35,278.00",UKPoundSterling,"We seek to grow the Fund (through increases in investment value and income) over a rolling 5 year period after deducting fees and costs. We invest at least 80% of the Fund in the shares of large and medium sized companies from around the world. We may also invest in cash or bonds or units in funds (including those managed by Sarasin). We carefully select the Funds investments and have free choice to select companies from any country/region, sector or industry. The fund is actively managed and will not track an index.",Ireland,MSCI AC World TR USD,Global,134.12,-0.21,,,,TRUE,,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.00,0.03,0.01,0.24,0.00,0.00,0.02,0.02,0.21,0.02,0.00,0.00,0.00,0.00,"3,176.72",128.59,% Targets set,0.41,0.14,0.00,0.04,0.39
SE0000542987,Swedbank Robur Talenten Aktiefond Mega,Article 8,SRI,Swedbank Robur Fonder AB,"35,033.00",SwedishKrona,The fund is an equity fund with ethical restrictions which invests in Sweden and globally in different sectors. The fund will normally invest 50% in Swedish and 50% in foreign equities. The companies shall respect international norms concerning human rights and environment. The companies shall promote good working conditions and union rights and not accept discrimination or child labour. The fund follows the church of Sweden's finance policy.,Sweden,Index is not available on Lipper Database,Global,"1,233.77",-0.27,,"ex Weapons, ex Tobacco, ex Adult Entertainment, ex Nuclear, ex Alcohol or Drugs, ex Fossil Energy",,TRUE,,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.11,0.13,0.00,0.00,0.00,0.01,0.11,0.02,0.00,0.00,0.00,0.00,662.50,32.63,% Targets set,0.22,0.13,0.01,0.05,0.52
SE0000837205,Lansforsakringar Global Vision A,Article 8,SRI,Hermes Investment Management,"33,204.00",SwedishKrona,The fund is an actively managed equity fund that focuses primarily on invest in companies in different industries in the global stock markets. The Fund can also invest in money market instruments and bonds. For the fund investments are taken into account international norms and different sustainability criteria. The fund's goal is to exceed the performance of the fund's benchmark index MSCI World Net TR.,Sweden,MSCI World NR USD,Global,"1,720.63",-0.24,Sustainable Development Goals (SDGs),"ex Weapons, ex Tobacco, ex Adult Entertainment, ex Nuclear, ex Fossil Energy, ex Other",,TRUE,,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.03,0.00,0.06,0.04,0.25,0.01,0.00,0.00,0.01,0.20,0.04,0.00,0.00,0.00,0.00,"2,808.44",93.08,% Targets set,0.38,0.12,0.01,0.10,0.35
,OBAM class C,Article 8,SRI,Bnp Paribas Am,"13,474.00",Euro,"Through active management, the Fund aims to achieve a higher return in the medium term than the index (the MSCI AC World (NR)) by investing in listed shares issued by companies around the world. Clear choices are made with regard to individual companies.",Netherlands,MSCI AC World NR EUR,Global,990.22,-0.24,Sustainable Development Goals (SDGs),"ex Weapons, ex Tobacco, ex Adult Entertainment, ex Fossil Energy",,TRUE,,9,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.10,0.10,0.21,0.00,0.00,0.01,0.00,0.16,0.03,0.00,0.00,0.00,0.00,"1,413.86",31.82,% Targets set,0.36,0.15,0.02,0.03,0.40
LU0086737722,C WorldWide Global Equities 1 A,Article 8,SRI,C Worldwide Asset Management,"35,048.00",USDollar,"Fund aims to achieve long-term capital growth from a diversified portfolio of investments. It consists principally of equities issued in Eligible Markets, although convertible bonds, fixed income transferable securities may also be used, as investment conditions dictate. It may also hold ancillary liquid assets. There is no pre-determined geographical distribution as the Sub-Fund seeks to maximise returns by exploiting investment opportunities wherever they arise. The investment policy is focused on investments in a limited portfolio with long-term attractive equities.",Luxembourg,MSCI AC World NR USD,Global,"1,801.37",-0.23,,"ex Weapons, ex Other",,TRUE,,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.00,0.00,-0.04,0.24,0.00,0.00,0.00,0.04,0.20,0.04,0.00,0.00,0.00,0.00,"4,017.48",119.30,% Targets set,0.24,0.21,0.00,0.06,0.46
DE0009781740,ACATIS AKTIEN GLOBAL FONDS A,Article 8,SRI,Acatis Investment,"35,571.00",Euro,"The fund consists of at least 2/3 equities. The focus is on global, undervalued stocks that have been selected through traditional stock analysis (value principle). The transparency of accounting and corporate management should be essential for the investment decision.",Germany,MSCI World TR EUR,Global,600.95,-0.27,,,,TRUE,,9,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.00,0.04,0.03,0.31,0.00,0.00,0.00,0.01,0.31,0.00,0.00,0.00,0.00,0.00,"2,682.65",48.45,% Targets set,0.49,0.17,0.01,0.04,0.21
ES0114988035,"Caja Ingenieros Global ISR A, FI",Article 8,SRI,Caja Ingenieros Gestion SGIIC SA,"36,314.00",Euro,"The Fund applies Socially Responsible Investment (SRI) criteria, so its investments will be guided by sustainable and financial principles. Most investments will meet sustainable requirements so that environmental, social and corporate governance factors are integrated into the financial analysis. At least 75% of the total exposure will be invested in global equities, without predetermination, in terms of markets, sectors and capitalization, which may negatively influence the liquidity of the Fund.",Spain,MSCI World NR EUR,Global,160.86,-0.27,Sustainable Development Goals (SDGs),"ex Weapons, ex Tobacco, ex Fossil Energy, ex Other",Thematic,TRUE,TRUE,9,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.01,0.01,0.18,0.00,0.00,0.00,0.00,0.18,0.00,0.00,0.00,0.00,0.00,791.03,15.26,% Targets set,0.18,0.18,0.04,0.00,0.46
GB0009341214,Sarasin Thematic Global Equity A Acc,Article 8,SRI,Banque J. Safra Sarasin Sa,"34,516.00",UKPence,We seek to grow the Fund (through increases in investment value and income) over a rolling 5 year period after deducting fees and costs.We invest at least 80% of the Fund in the shares of large and medium sized companies from around the world. We may also invest in cash or bonds or units in funds (including those managed by Sarasin).,UK,MSCI AC World NR USD,Global,648.05,-0.20,,,Thematic,TRUE,,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.24,0.00,0.00,0.01,0.00,0.20,0.02,0.00,0.00,0.00,0.00,"2,354.32",78.10,% Targets set,0.38,0.17,0.00,0.05,0.40
GB0005027221,Janus Henderson Global Sustainable Equity A Inc,Article 9,SRI,Janus Henderson Investors,"33,451.00",UKPence,To provide capital growth by investing primarily in a portfolio of global equities. The fund will seek to invest in global companies whose products and services are considered by the Investment Manager as contributing to positive environmental or social change and thereby have an impact on the development of a sustainable global economy. The fund will avoid investing in companies that the Investment Manager considers to potentially have a negative impact on the development of a sustainable global economy.,UK,MSCI World TR USD,Global,"2,332.37",-0.25,,,,TRUE,,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.09,0.07,0.15,0.00,0.00,0.00,0.02,0.10,0.01,0.00,0.00,0.04,0.00,819.31,64.91,% Targets set,0.42,0.21,0.01,0.00,0.34
DK0060747905,Sparindex INDEX Baeredygtige Global KL,Article 9,SRI,Nykredit Asset Management & Sparinvest,"43,258.00",DanishKrone,"The invests globally in companies that are considered to include Sustainability (ESG) in the business model and that do not violate the UN Declaration of Human Rights or other internationally recognized conventions. There may be companies that are included in the benchmark that are not included in the fund's investments. The portfolio is composed for the sole purpose of creating the same return and risk profile as the benchmark, taking into account trading costs and ethical screening.",Denmark,Index is not available on Lipper Database,Global,246.80,-0.20,,"ex Weapons, ex Tobacco, ex Adult Entertainment, ex Alcohol or Drugs, ex Fossil Energy",,TRUE,,9,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.04,0.03,0.22,0.01,0.01,0.00,0.01,0.15,0.04,0.00,0.01,0.00,0.00,"1,457.48",89.97,% Targets set,0.41,0.19,0.02,0.07,0.29
DK0061408077,Nykredit Invest Engros Stabile Globale Fokusaktier,Article 8,SRI,Nykredit Asset Management & Sparinvest,"44,118.00",DanishKrone,The fund invests globally in shares that are admitted to trading on regulated markets and can also invest in depository receipts (eg ADRs and GDRs). The investment strategy will be active with a focus on a concentrated portfolio comprising approx. 25 companies. The strategy will focus on a thematic and fundamental analytical investment approach with a focus on growth companies with an assessed stable business model.,Denmark,MSCI AC World NR USD,Global,186.85,-0.15,,,,TRUE,,9,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.04,0.04,0.28,0.00,0.00,0.00,0.00,0.20,0.08,0.00,0.00,0.00,0.00,"1,523.13",42.55,% Targets set,0.24,0.20,0.00,0.08,0.48
LU2352516632,Schroder ISF Sus Glo Growth and Inc C USD Acc,Article 8,SRI,Schroder Investment Management,"44,391.00",USDollar,The Fund aims to provide an annual yield in excess of the MSCI All Country World (Net TR) Index and capital growth by investing in equity and equity related securities of companies worldwide which meet the Investment Managers sustainability criteria,Luxembourg,Index is not available on Lipper Database,Global,356.93,-0.14,,"ex Weapons, ex Fossil Energy",,TRUE,TRUE,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.03,0.01,0.17,0.00,0.00,0.00,0.02,0.14,0.03,0.00,0.00,0.00,0.00,"1,717.55",71.30,% Targets set,0.29,0.25,0.02,0.04,0.38
LU1983299246,Schroder ISF Healthcare Innovation A Acc USD,Article 8,SRI,Schroder Investment Management,"43,677.00",USDollar,The Fund aims to provide capital growth by investing in equity and equity related securities of healthcare and medical related companies worldwide.,Luxembourg,MSCI AC World NR USD,Global,398.72,-0.18,,ex Weapons,,TRUE,,9,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.93,0.00,0.00,0.00,0.00,0.93,0.00,0.00,0.00,0.00,0.00,544.04,26.68,% Targets set,0.41,0.22,0.00,0.03,0.30
GB00BF781M07,Schroder Global Sustainable Growth L Acc,N/A,SRI,Schroder Investment Management,"44,215.00",UKPence,The Fund aims to provide capital growth in excess of the MSCI All Country World (Net Total Return) Index (after the deduction of fees) over any three to five year period by investing in equity and equity related securities of companies worldwide which meet the Investment Manager's sustainability criteria.The fund is actively managed and invests at least 80% of its assets in a concentrated portfolio of equity and equity related securities of companies worldwide.The fund may use derivatives with the aim of reducing risk or managing the fund more efficiently.,UK,MSCI AC World TR GBP,Global,273.80,-0.18,,,,TRUE,,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.26,0.00,0.00,0.00,0.00,0.23,0.03,0.00,0.00,0.00,0.00,"1,264.62",34.80,% Targets set,0.25,0.27,0.01,0.04,0.39
LU2206802071,Nordea 2 - Global Responsible Enh Small Cap BI USD,Article 8,SRI,Nordea Asset Management,"44,228.00",USDollar,"To provide shareholders with investment growth in the long term. The fund mainly invests in small capitalisation equities of companies in from anywhere in the world. Specifically, the fund invests at least 75% of total assets in equities and equity-related securities issued by companies whose market capitalisation (at the time of purchase) is between USD 200 million and USD 10 billion.It will be exposed (through investments or cash) to other currencies than the base currency.",Luxembourg,MSCI World Small Cap NR USD,Global,169.27,-0.22,,"ex Weapons, ex Other",,TRUE,,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.04,0.03,0.20,0.00,0.00,0.00,0.01,0.12,0.04,0.01,0.00,0.02,0.00,268.03,133.00,% Targets set,0.76,0.13,0.01,0.01,0.08
LU1874782276,Nordea 2 - Global Opportunity Equity NOK H BP NOK,Article 8,SRI,Nordea Asset Management,"43,363.00",NorwegianKrone,The fund will have particular focus on the companies' ability to comply with the Norges Bank Investment Management standards for responsible investment and use this actively in the investment process. The fund invests globally and at least three-fourths of its total assets (excluding cash) in equity related securities.,Luxembourg,Index is not available on Lipper Database,Global,66.68,-0.35,,"ex Weapons, ex Other",,TRUE,,9,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.01,0.01,0.13,0.00,0.00,0.00,0.00,0.13,0.00,0.00,0.00,0.00,0.00,"1,119.41",24.35,% Targets set,0.27,0.14,0.00,0.02,0.46
CH0200808092,CSIMF Equity Switzerland ZB,N/A,Standard,Credit Suisse Asset Management,"42,674.00",SwissFranc,"The broadly diversified portfolio is positioned to achieve long-term asset growth, with performance benchmarked against that of the SMI. The equities of large-cap companies are preferred. Stock selection is carried out according to criteria such as company valuation, economic environment, company positioning and quality of management.",Switzerland,Swiss Performance Index TR,Switzerland,165.21,-0.13,,,,TRUE,,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.60,0.00,0.01,0.00,0.01,0.36,0.23,0.00,0.00,0.00,0.00,"4,303.74",145.65,% Targets set,0.26,0.25,0.00,0.00,0.46
LU2459591090,MSIF Calvert Sustainable Emerg Mkts Eq Sel A USD C,Article 9,SRI,Morgan Stanley Investment Managmeent (Msim),"44,712.00",USDollar,"Fund aims to provide long-term capital appreciation, measured in US Dollars , primarily investing in equity securities of companies Located in the worlds emerging markets, that are involved in economic activities that address global environmental or societal challenges, such as environmental sustainability and resource efficiency, diversity, equity and inclusion, respect for human rights, product responsibility, human capital management and accountable governance and transparent operations, or are leaders in managing financially material environmental or social risks and opportunities, such as carbon emission management and diversity, equity and inclusion.",Luxembourg,Index is not provided by Management Company,Global,4.79,,,,,TRUE,,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.18,0.00,0.02,0.00,0.01,0.11,0.05,0.00,0.00,0.00,0.00,"2,150.35",130.21,% Targets set,0.63,0.12,0.01,0.03,0.09
IE00BG1D7R55,FTGF Clearbridge Global Growth A USD Acc,Article 8,SRI,Franklin Templeton International,"43,280.00",USDollar,"The Fund invests at least 80% of its Net Asset Value in equity securities that are listed or traded on Regulated Markets located anywhere in the world. The Fund invests primarily in common stocks and preferred shares that, in the Sub-Investment Managers opinion, appear to offer above average growth potential and trade at a significant discount to the Sub-Investment Managers assessment of their intrinsic value. The Sub-Investment Managers fundamental research integrates industry and company-specific ESG analysis.",Ireland,Index is not provided by Management Company,Global,12.65,-0.23,,,,TRUE,,9,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.03,0.02,0.04,0.01,0.32,0.00,0.00,0.00,0.05,0.24,0.07,0.00,0.01,0.00,0.00,"3,562.39",151.19,% Targets set,0.34,0.24,0.01,0.08,0.32
IE00BFXY6B66,Fidelity World FAM A EUR Acc,Article 8,SRI,Fidelity Investments,"43,341.00",Euro,"To achieve long-term capital growth from a portfolio primarily made up of the equity securities of companies around the world. The Investment Manager uses a valuation-focused approach to identify companies with the potential for meaningful share price appreciation. The Investment Manager applies fundamental analysis to seek companies whose intrinsic value is greater than the current price of their securities. The Investment Manager evaluates investment opportunities on a company-by-company basis. The Investment Manager looks primarily for companies using a ""bottom up"" strategy, that is, by analyzing individual stocks before considering the impact of general or industry economic trends.",Ireland,Index is not provided by Management Company,Global,"1,017.15",-0.19,,,,TRUE,,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.00,0.11,0.08,0.29,0.01,0.00,0.00,0.06,0.26,0.01,0.00,0.00,0.00,0.00,"2,001.35",112.19,% Targets set,0.45,0.15,0.00,0.03,0.31
GB0034204569,Fidelity Sustainable Global Equity Income W Acc,N/A,SRI,Fidelity Investments,"44,638.00",UKPence,"The fund aims to provide income and long-term capital growth over a period of 5 years or more.The fund is part of the Fidelity Sustainable Family of Funds and adheres to the Fidelity Sustainable Family Framework under which at least 70% of the funds net assets will be invested in issuers deemed to maintain sustainable characteristics. The fund will also adhere to the Fidelity Sustainable Family exclusion policy.The fund will invest at least 70% in the shares of companies globally, which maintain sustainable characteristics.",UK,MSCI AC World TR USD,Global,46.39,-0.14,Sustainable Development Goals (SDGs),,Thematic,TRUE,,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.01,0.00,0.07,0.06,0.08,0.00,0.00,0.00,0.04,0.08,0.00,0.00,0.00,0.00,0.00,"2,085.63",65.93,% Targets set,0.39,0.20,0.02,0.05,0.29
GB0003860789,Fidelity Sustainable Global Equity A Acc Shares,N/A,SRI,Fidelity Investments,"30,235.00",UKPence,The Fund will invest at least 80% in equities (and equity related securities) of companies globally which could include countries considered to be emerging markets as determined by the Investment Manager at its sole discretion.The Investment Manager aims to hold a concentrated portfolio of 40-60 stocks.,UK,MSCI AC World TR GBP,Global,595.63,-0.22,,,Thematic,TRUE,,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.03,0.00,0.10,0.08,0.28,0.01,0.00,0.00,0.06,0.26,0.01,0.00,0.00,0.00,0.00,"1,954.69",109.28,% Targets set,0.46,0.15,0.00,0.03,0.30
SE0000900169,AstraZeneca Allemansfond,Article 8,SRI,Handelsbanken,"30,773.00",SwedishKrona,"The fund is actively managed, which means that the portfolio manager takes active, independent investment decisions. The long term objective of the fund is to exceed the returns of the underlying market, defined as the benchmark index. The fund is a special fund (non-UCITS) and thereby the fund deviates from a UCITS fund by concentrating holdings to a smaller number of equities issued by companies in primarily Sweden. The fund invests a significant amount (maximum of 50% of assets) in AstraZeneca.",Sweden,Index is not available on Lipper Database,Europe,329.89,-0.11,,"ex Weapons, ex Tobacco, ex Adult Entertainment, ex Alcohol or Drugs, ex Fossil Energy",,TRUE,,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.51,0.00,0.00,0.00,0.00,0.51,0.00,0.00,0.00,0.00,0.00,361.66,25.49,% Targets set,0.19,0.06,0.00,0.03,0.69
LU2380233275,Schroder ISF Glo Sust Food and Water A USD Acc,Article 9,SRI,Schroder Investment Management,"44,474.00",USDollar,The Fund aims to provide capital growth by investing in equity and equity related securities of companies worldwide which help the transition towards the sustainable provision of food and water and which the Investment Manager deems to be sustainable investments.,Luxembourg,MSCI AC World NR USD,Global,301.35,-0.09,,"ex Weapons, ex Tobacco, ex Nuclear, ex Fossil Energy",Thematic,TRUE,,7,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.69,0.02,0.00,0.00,0.00,0.03,0.65,0.00,0.00,0.00,0.00,"3,079.68",329.55,% Targets set,0.30,0.27,0.03,0.12,0.19
SE0011167899,Swedbank Robur Global Impact,Article 9,SDG Impact,Swedbank Robur Fonder AB,"43,249.00",SwedishKrona,"The fund is an equity fund that invests globally in companies that, through their products, services and activities, according to the fund company's assessment, contribute to meeting the UN's 17 global goals for sustainable development. The goals are based on a universal agreement between the UN member states and aim to, by 2030, work for better global health, reduced inequalities in the world, to solve the climate crisis and to reduce environmental degradation.",Sweden,Index is not available on Lipper Database,Global,274.03,-0.10,Sustainable Development Goals (SDGs),"ex Weapons, ex Tobacco, ex Adult Entertainment, ex Nuclear, ex Alcohol or Drugs, ex Fossil Energy",,TRUE,,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.00,0.21,0.19,0.36,0.01,0.00,0.00,0.03,0.28,0.05,0.00,0.00,0.03,0.00,"1,281.78",144.96,% Targets set,0.54,0.11,0.00,0.03,0.26
LU2189789675,CSIF (Lux) Equity UK ESG Blue QBX GBP,Article 8,SRI,Credit Suisse Asset Management,"44,025.00",UKPoundSterling,The Fund aims to provide the Shareholders with a return in line with the performance of the MSCI UK ESG Leaders Index and may invest in a representative selection of securities from the benchmark index (optimized sampling) rather than in all the securities in the index.The MSCI UK ESG Leaders Index consists of large and mid cap companies in the UK market.,Luxembourg,Index is not available on Lipper Database,United Kingdom,114.68,-0.14,,,,TRUE,,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.38,0.04,0.00,0.00,0.00,0.30,0.03,0.00,0.01,0.00,0.00,930.69,51.52,% Targets set,0.17,0.15,0.01,0.05,0.61
